고객사ID,가입일,산업군,요금제,좌석수,월구독료,이탈여부
C01033,2024-02-13,금융,Basic,1,29000,0
C01034,2022-04-08,공공,Pro,3,297000,0
C01035,2023-06-22,공공,Enterprise,34,13260000,0
C01036,2024-01-27,스타트업,Pro,4,396000,0
C01037,2023-01-26,유통/이커머스,Pro,1,99000,0
C01038,2023-05-14,제조,Basic,1,29000,0
C01039,2022-07-06,교육,Basic,1,29000,0
C01040,2022-04-23,제조,Basic,2,58000,0
C01041,2023-12-21,스타트업,Pro,5,495000,0
C01042,2023-10-29,제조,Pro,8,792000,0
C01043,2022-12-04,IT/SW,Pro,4,396000,0
C01044,2023-01-27,금융,Basic,1,29000,0
C01045,2024-02-26,교육,Basic,1,29000,0
C01046,2024-03-02,금융,Enterprise,28,10920000,0
C01047,2022-03-27,유통/이커머스,Basic,2,58000,0
C01048,2022-12-11,IT/SW,Pro,8,792000,0
C01049,2023-12-04,유통/이커머스,Basic,1,29000,0
C01050,2023-06-23,IT/SW,Pro,2,198000,0
C01051,2024-03-25,스타트업,Basic,2,58000,0
C01052,2023-12-12,의료,Basic,1,29000,0
C01053,2023-08-06,IT/SW,Pro,2,198000,1
C01054,2022-03-25,의료,Basic,1,29000,0
C01055,2022-09-17,제조,Basic,3,87000,0
C01056,2022-01-05,유통/이커머스,Pro,5,495000,0
C01057,2024-06-14,유통/이커머스,Basic,1,29000,0
C01058,2022-06-17,교육,Enterprise,30,11700000,0
C01059,2023-09-15,제조,Enterprise,35,13650000,0
C01060,2023-03-31,의료,Pro,6,594000,0
C01061,2023-05-26,공공,Basic,1,29000,1
C01062,2022-11-27,유통/이커머스,Basic,1,29000,0
C01063,2024-03-26,유통/이커머스,Basic,1,29000,0
C01064,2023-08-24,IT/SW,Basic,3,87000,0
C01065,2022-07-07,교육,Pro,2,198000,0
C01066,2022-03-22,금융,Basic,3,87000,1
C01067,2024-02-05,공공,Pro,5,495000,0
C01068,2023-09-25,IT/SW,Pro,5,495000,1
C01069,2022-11-28,스타트업,Pro,3,297000,1
C01070,2023-10-08,금융,Basic,1,29000,1
C01071,2023-08-30,교육,Basic,1,29000,0
C01072,2022-12-15,제조,Pro,7,693000,0
C01073,2022-09-05,교육,Basic,1,29000,0
C01074,2022-08-19,금융,Basic,1,29000,0
C01075,2024-04-13,교육,Pro,2,198000,0
C01076,2023-10-22,금융,Basic,1,29000,0
C01077,2022-01-28,스타트업,Pro,2,198000,0
C01078,2023-02-20,제조,Enterprise,30,11700000,1
C01079,2023-12-12,제조,Pro,7,693000,0
C01080,2022-01-05,제조,Basic,1,29000,0
C01081,2022-05-03,유통/이커머스,Pro,5,495000,0
C01082,2024-03-31,공공,Basic,1,29000,0
C01083,2022-09-13,금융,Pro,6,594000,0
C01084,2023-07-13,스타트업,Basic,1,29000,0
C01085,2023-02-12,의료,Basic,2,58000,0
C01086,2023-05-09,IT/SW,Pro,6,594000,0
C01087,2023-11-19,스타트업,Pro,2,198000,0
C01088,2024-06-11,교육,Enterprise,25,9750000,0
C01089,2023-10-19,스타트업,Enterprise,25,9750000,0
C01090,2022-03-13,IT/SW,Enterprise,21,8190000,0
C01091,2023-08-30,교육,Basic,3,87000,0
C01092,2022-08-20,교육,Pro,2,198000,0
C01093,2023-04-14,의료,Basic,2,58000,0
C01094,2022-07-29,IT/SW,Basic,2,58000,0
C01095,2022-06-21,스타트업,Pro,7,693000,1
C01096,2024-05-09,교육,Basic,1,29000,0
C01097,2022-06-15,의료,Enterprise,34,13260000,0
C01098,2023-10-04,제조,Pro,4,396000,0
C01099,2024-04-16,유통/이커머스,Enterprise,32,12480000,0
C01100,2022-12-25,제조,Pro,4,396000,1
C01101,2022-03-09,유통/이커머스,Pro,6,594000,0
C01102,2022-02-03,스타트업,Basic,2,58000,0
C01103,2023-06-02,유통/이커머스,Enterprise,27,10530000,0
C01104,2023-02-06,IT/SW,Basic,1,29000,0
C01105,2023-04-18,IT/SW,Pro,9,891000,0
C01106,2022-10-04,유통/이커머스,Basic,2,58000,0
C01107,2022-04-28,금융,Enterprise,38,14820000,0
C01108,2022-11-23,의료,Basic,1,29000,0
C01109,2022-07-22,교육,Pro,4,396000,0
C01110,2023-07-15,스타트업,Pro,5,495000,0
C01111,2022-01-10,의료,Basic,2,58000,0
C01112,2023-12-02,IT/SW,Basic,2,58000,0
C01113,2022-04-18,제조,Basic,1,29000,0
C01114,2022-04-21,IT/SW,Pro,4,396000,0
C01115,2023-07-17,IT/SW,Basic,1,29000,0
C01116,2022-06-13,의료,Basic,1,29000,0
C01117,2022-12-22,스타트업,Basic,2,58000,0
C01118,2022-01-03,IT/SW,Pro,2,198000,0
C01119,2023-07-07,의료,Enterprise,25,9750000,1
C01120,2022-07-28,교육,Pro,4,396000,0
C01121,2023-05-01,금융,Pro,8,792000,0
C01122,2023-09-02,의료,Basic,1,29000,0
C01123,2022-11-18,제조,Enterprise,29,11310000,0
C01124,2023-01-25,IT/SW,Enterprise,30,11700000,0
C01125,2022-01-29,IT/SW,Pro,6,594000,0
C01126,2022-11-22,제조,Basic,2,58000,1
C01127,2022-07-16,스타트업,Basic,1,29000,0
C01128,2023-08-03,제조,Basic,2,58000,0
C01129,2022-11-13,IT/SW,Basic,3,87000,0
C01130,2024-02-09,공공,Basic,1,29000,0
C01131,2022-05-28,유통/이커머스,Pro,7,693000,1
C01132,2022-04-23,IT/SW,Pro,3,297000,0
C01133,2022-09-30,유통/이커머스,Pro,6,594000,0
C01134,2023-04-11,스타트업,Basic,2,58000,1
C01135,2022-08-12,IT/SW,Pro,4,396000,0
C01136,2023-11-03,IT/SW,Basic,1,29000,0
C01137,2023-12-06,공공,Basic,1,29000,0
C01138,2023-02-17,제조,Basic,2,58000,0
C01139,2022-12-28,IT/SW,Basic,1,29000,0
C01140,2022-03-01,IT/SW,Enterprise,25,9750000,0
C01141,2022-12-14,금융,Enterprise,27,10530000,0
C01142,2022-01-13,제조,Basic,1,29000,1
C01143,2022-04-13,제조,Pro,5,495000,0
C01144,2024-03-24,제조,Enterprise,35,13650000,1
C01145,2024-05-18,금융,Basic,1,29000,0
C01146,2023-02-02,금융,Enterprise,41,15990000,0
C01147,2022-07-11,금융,Basic,1,29000,0
C01148,2024-01-07,IT/SW,Pro,6,594000,0
C01149,2023-08-07,금융,Basic,1,29000,0
C01150,2023-03-08,IT/SW,Basic,2,58000,0
C01151,2022-02-12,유통/이커머스,Pro,5,495000,0
C01152,2024-01-22,금융,Pro,6,594000,1
C01153,2022-02-24,스타트업,Pro,7,693000,0
C01154,2023-10-03,제조,Enterprise,43,16770000,1
C01155,2022-12-07,스타트업,Basic,1,29000,0
C01156,2024-03-03,의료,Basic,1,29000,0
C01157,2022-10-02,IT/SW,Pro,5,495000,0
C01158,2023-09-14,IT/SW,Basic,1,29000,0
C01159,2023-11-04,IT/SW,Pro,7,693000,0
C01160,2022-12-16,금융,Basic,1,29000,0
C01161,2022-12-30,공공,Pro,5,495000,0
C01162,2024-02-24,금융,Basic,1,29000,0
C01163,2022-07-28,유통/이커머스,Enterprise,22,8580000,1
C01164,2023-05-03,유통/이커머스,Enterprise,28,10920000,0
C01165,2022-03-02,제조,Pro,5,495000,0
C01166,2022-05-03,공공,Basic,1,29000,0
C01167,2022-06-03,제조,Basic,3,87000,0
C01168,2023-11-26,스타트업,Pro,4,396000,0
C01169,2022-03-14,유통/이커머스,Pro,4,396000,0
C01170,2023-03-01,교육,Basic,1,29000,0
C01171,2022-04-29,IT/SW,Enterprise,31,12090000,0
C01172,2023-07-07,금융,Pro,2,198000,0
C01173,2022-12-24,IT/SW,Basic,1,29000,0
C01174,2022-06-18,의료,Enterprise,29,11310000,0
C01175,2023-10-05,IT/SW,Basic,1,29000,0
C01176,2023-11-30,금융,Basic,1,29000,0
C01177,2022-07-25,공공,Basic,1,29000,0
C01178,2024-04-20,공공,Pro,5,495000,0
C01179,2023-11-05,공공,Basic,2,58000,1
C01180,2023-11-14,유통/이커머스,Enterprise,32,12480000,0
C01181,2022-05-25,제조,Pro,5,495000,0
C01182,2023-08-15,공공,Enterprise,32,12480000,1
C01183,2024-01-18,IT/SW,Pro,2,198000,0
C01184,2022-01-26,의료,Pro,7,693000,0
C01185,2022-07-29,유통/이커머스,Pro,3,297000,0
C01186,2024-03-30,금융,Basic,1,29000,0
C01187,2022-03-30,금융,Pro,3,297000,0
C01188,2022-11-24,IT/SW,Pro,4,396000,0
C01189,2024-03-26,제조,Basic,1,29000,0
C01190,2022-07-28,금융,Pro,1,99000,1
C01191,2023-08-25,교육,Pro,3,297000,0
C01192,2023-04-26,IT/SW,Basic,1,29000,0
C01193,2022-11-02,교육,Pro,2,198000,0
C01194,2022-10-18,의료,Enterprise,30,11700000,0
C01195,2023-07-30,IT/SW,Pro,4,396000,0
C01196,2023-08-23,제조,Pro,5,495000,0
C01197,2023-04-26,스타트업,Basic,1,29000,0
C01198,2024-05-06,공공,Enterprise,36,14040000,0
C01199,2022-04-17,금융,Basic,2,58000,0
C01200,2024-06-16,스타트업,Basic,1,29000,0
C01201,2024-06-06,IT/SW,Pro,3,297000,0
C01202,2022-04-11,제조,Enterprise,38,14820000,0
C01203,2023-08-01,유통/이커머스,Pro,8,792000,0
C01204,2022-12-06,공공,Basic,2,58000,0
C01205,2024-02-17,스타트업,Pro,4,396000,0
C01206,2022-10-27,IT/SW,Pro,4,396000,0
C01207,2023-02-10,스타트업,Pro,7,693000,0
C01208,2022-08-06,의료,Basic,1,29000,0
C01209,2022-03-23,교육,Enterprise,31,12090000,0
C01210,2022-01-29,제조,Basic,3,87000,0
C01211,2022-06-25,금융,Basic,1,29000,1
C01212,2024-03-26,IT/SW,Enterprise,28,10920000,0
C01213,2022-06-05,공공,Basic,1,29000,0
C01214,2022-04-03,교육,Pro,1,99000,0
C01215,2022-12-25,의료,Pro,8,792000,0
C01216,2022-06-20,교육,Basic,2,58000,0
C01217,2022-04-01,제조,Enterprise,37,14430000,0
C01218,2023-11-27,제조,Basic,1,29000,0
C01219,2023-08-29,교육,Basic,1,29000,1
C01220,2023-04-01,유통/이커머스,Pro,5,495000,1
C01221,2023-11-06,IT/SW,Basic,1,29000,1
C01222,2023-08-30,제조,Basic,1,29000,0
C01223,2023-05-03,유통/이커머스,Pro,6,594000,0
C01224,2022-05-20,유통/이커머스,Enterprise,28,10920000,0
C01225,2024-05-11,IT/SW,Basic,1,29000,0
C01226,2023-10-12,공공,Basic,1,29000,0
C01227,2024-02-26,유통/이커머스,Enterprise,20,7800000,0
C01228,2022-10-08,금융,Basic,2,58000,0
C01229,2022-04-19,스타트업,Basic,1,29000,0
C01230,2023-09-20,스타트업,Basic,3,87000,0
C01231,2024-06-04,금융,Enterprise,31,12090000,0
C01232,2023-01-17,스타트업,Basic,1,29000,0
C01233,2022-10-09,의료,Basic,1,29000,0
C01234,2024-04-22,의료,Pro,7,693000,1
C01235,2024-03-28,스타트업,Pro,6,594000,0
C01236,2022-07-29,IT/SW,Basic,1,29000,0
C01237,2022-07-12,공공,Enterprise,27,10530000,0
C01238,2023-02-01,금융,Enterprise,29,11310000,0
C01239,2024-03-10,교육,Basic,3,87000,0
C01240,2022-09-19,IT/SW,Pro,6,594000,0
C01241,2022-10-15,유통/이커머스,Enterprise,44,17160000,1
C01242,2022-07-15,유통/이커머스,Enterprise,29,11310000,0
C01243,2023-02-01,교육,Basic,2,58000,0
C01244,2023-11-08,IT/SW,Pro,6,594000,0
C01245,2023-09-06,공공,Basic,1,29000,0
C01246,2022-04-27,의료,Pro,4,396000,0
C01247,2024-06-03,금융,Pro,9,891000,1
C01248,2023-12-18,IT/SW,Basic,1,29000,0
C01249,2022-05-27,IT/SW,Basic,1,29000,0
C01250,2023-07-31,제조,Basic,3,87000,1
C01251,2022-09-26,금융,Pro,6,594000,0
C01252,2024-03-26,유통/이커머스,Enterprise,25,9750000,0
C01253,2022-01-23,유통/이커머스,Basic,2,58000,0
C01254,2022-06-17,금융,Basic,2,58000,0
C01255,2022-04-22,금융,Basic,2,58000,0
C01256,2023-07-20,유통/이커머스,Basic,3,87000,0
C01257,2022-04-03,금융,Basic,1,29000,1
C01258,2023-04-24,의료,Pro,5,495000,1
C01259,2023-08-18,제조,Pro,6,594000,0
C01260,2022-10-14,IT/SW,Pro,4,396000,0
C01261,2022-01-30,IT/SW,Pro,4,396000,0
C01262,2024-04-03,IT/SW,Pro,4,396000,0
C01263,2024-04-06,제조,Pro,5,495000,0
C01264,2022-11-22,유통/이커머스,Pro,5,495000,0
C01265,2022-03-12,제조,Enterprise,30,11700000,0
C01266,2022-09-28,공공,Basic,1,29000,0
C01267,2024-03-26,스타트업,Basic,1,29000,0
C01268,2022-05-03,의료,Pro,8,792000,0
C01269,2022-01-25,IT/SW,Basic,2,58000,0
C01270,2022-03-02,금융,Basic,1,29000,0
C01271,2022-08-07,제조,Basic,3,87000,0
C01272,2023-08-01,공공,Pro,5,495000,1
C01273,2023-06-16,유통/이커머스,Enterprise,33,12870000,0
C01274,2022-12-05,의료,Basic,1,29000,0
C01275,2024-06-16,IT/SW,Pro,6,594000,0
C01276,2023-02-09,교육,Enterprise,27,10530000,0
C01277,2023-11-22,공공,Pro,3,297000,0
C01278,2023-07-29,제조,Pro,3,297000,0
C01279,2022-12-12,금융,Basic,4,116000,0
C01280,2022-07-17,유통/이커머스,Enterprise,35,13650000,0
C01281,2024-01-07,공공,Enterprise,32,12480000,0
C01282,2024-01-09,스타트업,Basic,1,29000,0
C01283,2023-09-04,스타트업,Basic,1,29000,0
C01284,2022-07-31,제조,Pro,5,495000,0
C01285,2022-10-14,제조,Basic,1,29000,0
C01286,2022-09-09,교육,Basic,1,29000,0
C01287,2023-07-10,교육,Enterprise,25,9750000,0
C01288,2023-04-05,유통/이커머스,Basic,1,29000,0
C01289,2024-03-19,제조,Basic,1,29000,0
C01290,2022-06-16,스타트업,Basic,1,29000,0
C01291,2023-11-03,금융,Enterprise,33,12870000,0
C01292,2022-12-25,유통/이커머스,Basic,1,29000,0
C01293,2022-03-08,IT/SW,Pro,3,297000,0
C01294,2022-11-27,IT/SW,Enterprise,26,10140000,0
C01295,2022-11-05,교육,Basic,1,29000,0
C01296,2022-01-14,공공,Enterprise,30,11700000,0
C01297,2023-07-09,유통/이커머스,Pro,7,693000,0
C01298,2024-01-26,제조,Pro,8,792000,1
C01299,2024-01-18,유통/이커머스,Enterprise,26,10140000,0
C01300,2023-01-09,공공,Basic,1,29000,0
C01301,2023-08-24,유통/이커머스,Pro,4,396000,1
C01302,2022-02-21,금융,Basic,1,29000,0
C01303,2023-07-09,IT/SW,Basic,2,58000,1
C01304,2023-01-09,유통/이커머스,Enterprise,33,12870000,0
C01305,2024-01-12,교육,Basic,1,29000,0
C01306,2022-06-16,제조,Pro,4,396000,1
C01307,2022-02-08,교육,Basic,2,58000,0
C01308,2022-07-31,스타트업,Enterprise,32,12480000,0
C01309,2022-10-23,금융,Basic,1,29000,1
C01310,2024-01-06,유통/이커머스,Basic,1,29000,0
C01311,2024-01-18,제조,Basic,3,87000,0
C01312,2024-04-14,금융,Basic,1,29000,0
C01313,2023-12-27,유통/이커머스,Basic,1,29000,0
C01314,2022-11-17,금융,Basic,2,58000,0
C01315,2024-06-13,IT/SW,Enterprise,23,8970000,1
C01316,2023-11-04,스타트업,Pro,5,495000,0
C01317,2024-04-06,IT/SW,Pro,6,594000,0
C01318,2023-10-29,금융,Enterprise,33,12870000,0
C01319,2023-03-17,금융,Basic,1,29000,0
C01320,2023-10-23,IT/SW,Pro,6,594000,0
C01321,2023-11-24,제조,Pro,6,594000,0
C01322,2023-05-27,스타트업,Basic,1,29000,0
C01323,2023-11-21,교육,Enterprise,37,14430000,1
C01324,2024-01-20,IT/SW,Basic,1,29000,0
C01325,2023-10-03,금융,Basic,1,29000,0
C01326,2023-06-22,IT/SW,Basic,3,87000,1
C01327,2022-08-30,제조,Pro,5,495000,0
C01328,2023-02-24,유통/이커머스,Basic,1,29000,0
C01329,2022-07-17,의료,Basic,1,29000,0
C01330,2024-03-06,유통/이커머스,Basic,1,29000,1
C01331,2022-02-24,유통/이커머스,Basic,2,58000,0
C01332,2024-01-15,제조,Pro,7,693000,0
C01333,2023-11-22,유통/이커머스,Pro,8,792000,0
C01334,2024-03-24,스타트업,Pro,7,693000,0
C01335,2023-08-21,스타트업,Basic,1,29000,0
C01336,2022-02-03,금융,Basic,1,29000,0
C01337,2022-09-10,스타트업,Basic,2,58000,0
C01338,2023-07-20,공공,Pro,6,594000,0
C01339,2023-08-24,제조,Pro,2,198000,0
C01340,2023-12-21,유통/이커머스,Basic,1,29000,0
C01341,2024-03-13,의료,Pro,3,297000,0
C01342,2022-02-24,교육,Basic,2,58000,0
C01343,2022-02-06,의료,Basic,1,29000,0
C01344,2022-01-25,제조,Basic,1,29000,1
C01345,2023-11-05,유통/이커머스,Enterprise,31,12090000,1
C01346,2023-06-10,스타트업,Pro,7,693000,0
C01347,2022-11-24,교육,Basic,2,58000,0
C01348,2024-04-28,공공,Pro,9,891000,1
C01349,2024-06-15,공공,Pro,5,495000,0
C01350,2023-09-09,제조,Pro,4,396000,0
C01351,2023-03-05,스타트업,Pro,3,297000,0
C01352,2023-03-09,의료,Pro,6,594000,0
C01353,2023-07-22,IT/SW,Pro,2,198000,0
C01354,2022-11-01,IT/SW,Pro,5,495000,0
C01355,2023-09-13,유통/이커머스,Pro,4,396000,0
C01356,2023-10-18,공공,Pro,8,792000,0
C01357,2023-04-09,교육,Basic,1,29000,1
C01358,2022-12-10,IT/SW,Basic,1,29000,0
C01359,2023-07-16,IT/SW,Basic,1,29000,0
C01360,2022-09-20,교육,Pro,5,495000,0
C01361,2022-05-31,유통/이커머스,Pro,6,594000,0
C01362,2023-08-30,금융,Pro,1,99000,0
C01363,2022-02-05,금융,Basic,2,58000,0
C01364,2023-12-01,금융,Pro,4,396000,0
C01365,2023-09-28,교육,Basic,1,29000,0
C01366,2024-03-04,유통/이커머스,Basic,1,29000,0
C01367,2022-10-23,금융,Basic,1,29000,0
C01368,2022-08-27,유통/이커머스,Basic,1,29000,0
C01369,2022-08-26,공공,Basic,2,58000,1
C01370,2022-06-24,제조,Pro,10,990000,0
C01371,2023-04-28,유통/이커머스,Basic,1,29000,0
C01372,2023-07-29,제조,Enterprise,23,8970000,0
C01373,2024-06-17,IT/SW,Enterprise,27,10530000,0
C01374,2024-03-12,제조,Basic,1,29000,0
C01375,2022-01-18,스타트업,Basic,1,29000,0
C01376,2022-07-17,유통/이커머스,Pro,2,198000,1
C01377,2024-05-28,제조,Pro,2,198000,0
C01378,2022-11-07,IT/SW,Basic,1,29000,0
C01379,2022-10-22,스타트업,Basic,1,29000,1
C01380,2022-12-29,의료,Basic,3,87000,0
C01381,2023-09-07,의료,Basic,3,87000,0
C01382,2022-09-04,IT/SW,Pro,3,297000,0
C01383,2023-08-30,의료,Pro,3,297000,0
C01384,2024-04-18,의료,Basic,2,58000,0
C01385,2024-03-27,공공,Basic,1,29000,1
C01386,2022-09-08,유통/이커머스,Basic,1,29000,0
C01387,2024-04-11,의료,Basic,1,29000,0
C01388,2023-10-31,제조,Enterprise,26,10140000,0
C01389,2023-04-21,IT/SW,Pro,5,495000,0
C01390,2022-02-04,IT/SW,Enterprise,39,15210000,1
C01391,2023-09-14,금융,Pro,5,495000,0
C01392,2022-05-10,유통/이커머스,Enterprise,32,12480000,0
C01393,2022-01-01,공공,Pro,6,594000,0
C01394,2022-03-09,스타트업,Pro,2,198000,0
C01395,2024-03-30,금융,Basic,3,87000,0
C01396,2022-07-20,IT/SW,Basic,1,29000,0
C01397,2022-08-16,스타트업,Enterprise,35,13650000,0
C01398,2022-01-14,제조,Basic,4,116000,0
C01399,2023-10-18,의료,Enterprise,22,8580000,0
C01400,2023-10-09,금융,Basic,1,29000,0
C01401,2024-01-19,의료,Basic,3,87000,0
C01402,2023-10-19,의료,Basic,1,29000,1
C01403,2024-03-03,공공,Enterprise,31,12090000,0
C01404,2023-05-12,공공,Enterprise,32,12480000,0
C01405,2023-10-23,의료,Basic,1,29000,0
C01406,2022-04-17,금융,Enterprise,28,10920000,0
C01407,2022-02-25,금융,Basic,1,29000,0
C01408,2023-07-30,금융,Basic,2,58000,0
C01409,2023-06-05,공공,Enterprise,20,7800000,0
C01410,2022-01-08,의료,Basic,1,29000,0
C01411,2022-08-16,IT/SW,Basic,1,29000,0
C01412,2023-06-17,IT/SW,Basic,1,29000,0
C01413,2022-09-09,공공,Pro,4,396000,0
C01414,2023-04-22,유통/이커머스,Pro,4,396000,0
C01415,2024-01-20,IT/SW,Pro,7,693000,1
C01416,2022-09-29,금융,Basic,1,29000,0
C01417,2024-05-15,교육,Enterprise,33,12870000,1
C01418,2022-04-02,금융,Pro,4,396000,0
C01419,2024-04-19,IT/SW,Pro,5,495000,0
C01420,2022-11-29,IT/SW,Pro,1,99000,0
C01421,2022-06-22,의료,Basic,1,29000,0
C01422,2024-01-27,유통/이커머스,Basic,1,29000,0
C01423,2022-04-19,IT/SW,Basic,1,29000,0
C01424,2022-04-20,IT/SW,Basic,3,87000,1
C01425,2024-04-03,의료,Basic,1,29000,0
C01426,2022-08-17,교육,Basic,1,29000,0
C01427,2023-06-17,유통/이커머스,Pro,7,693000,0
C01428,2022-05-19,유통/이커머스,Basic,2,58000,0
C01429,2022-11-02,제조,Basic,1,29000,0
C01430,2023-11-25,제조,Pro,5,495000,0
C01431,2022-07-18,금융,Basic,1,29000,1
C01432,2024-02-05,유통/이커머스,Pro,5,495000,0
C01433,2023-12-26,제조,Enterprise,39,15210000,0
C01434,2024-04-12,제조,Basic,1,29000,0
C01435,2024-05-27,금융,Basic,1,29000,0
C01436,2023-01-07,금융,Basic,1,29000,1
C01437,2023-01-12,교육,Basic,1,29000,0
C01438,2024-05-16,공공,Pro,7,693000,0
C01439,2023-11-07,스타트업,Pro,6,594000,0
C01440,2022-02-26,유통/이커머스,Pro,5,495000,1
C01441,2023-08-08,공공,Basic,1,29000,0
C01442,2022-08-24,유통/이커머스,Pro,7,693000,0
C01443,2023-12-21,IT/SW,Basic,1,29000,0
C01444,2024-03-12,의료,Basic,1,29000,0
C01445,2023-05-11,의료,Pro,8,792000,0
C01446,2023-12-05,금융,Basic,1,29000,0
C01447,2022-05-28,스타트업,Enterprise,30,11700000,1
C01448,2024-05-29,유통/이커머스,Basic,1,29000,0
C01449,2023-08-31,금융,Basic,1,29000,0
C01450,2023-12-18,금융,Pro,5,495000,0
C01451,2022-02-19,스타트업,Basic,2,58000,1
C01452,2023-05-01,교육,Enterprise,36,14040000,0
C01453,2024-05-11,금융,Basic,4,116000,0
C01454,2023-11-25,교육,Basic,1,29000,0
C01455,2022-09-20,IT/SW,Enterprise,36,14040000,0
C01456,2023-05-14,제조,Pro,3,297000,0
C01457,2023-01-30,유통/이커머스,Basic,2,58000,0
C01458,2023-01-21,제조,Basic,1,29000,1
C01459,2024-05-01,교육,Basic,1,29000,1
C01460,2024-01-31,IT/SW,Basic,1,29000,0
C01461,2023-03-18,교육,Pro,5,495000,0
C01462,2023-09-24,스타트업,Pro,9,891000,0
C01463,2023-04-30,제조,Enterprise,30,11700000,0
C01464,2024-04-16,IT/SW,Basic,1,29000,1
C01465,2022-11-22,의료,Pro,4,396000,0
C01466,2022-08-12,유통/이커머스,Pro,4,396000,1
C01467,2023-07-07,의료,Pro,2,198000,1
C01468,2024-05-06,유통/이커머스,Basic,2,58000,0
C01469,2023-04-19,공공,Pro,8,792000,0
C01470,2022-05-24,IT/SW,Pro,7,693000,0
C01471,2023-04-17,제조,Pro,6,594000,0
C01472,2023-09-10,금융,Basic,2,58000,0
C01473,2022-08-30,유통/이커머스,Basic,3,87000,1
C01474,2023-10-14,교육,Pro,5,495000,0
C01475,2023-05-23,IT/SW,Basic,3,87000,0
C01476,2023-11-27,의료,Basic,1,29000,0
C01477,2022-09-08,교육,Basic,3,87000,0
C01478,2023-04-06,제조,Pro,2,198000,0
C01479,2024-04-13,금융,Enterprise,23,8970000,1
C01480,2023-11-28,교육,Basic,1,29000,0
C01481,2023-04-27,제조,Basic,2,58000,0
C01482,2022-06-04,유통/이커머스,Pro,6,594000,0
C01483,2024-06-11,유통/이커머스,Pro,6,594000,0
C01484,2022-07-12,유통/이커머스,Pro,2,198000,0
C01485,2024-04-29,금융,Pro,7,693000,1
C01486,2022-09-13,유통/이커머스,Pro,5,495000,0
C01487,2022-09-20,IT/SW,Basic,1,29000,0
C01488,2023-10-14,제조,Basic,1,29000,0
C01489,2022-12-23,유통/이커머스,Basic,1,29000,0
C01490,2022-09-03,교육,Pro,3,297000,0
C01491,2022-06-22,교육,Basic,1,29000,1
C01492,2023-09-30,교육,Basic,1,29000,0
C01493,2022-05-03,교육,Pro,4,396000,1
C01494,2022-11-26,유통/이커머스,Basic,1,29000,0
C01495,2023-02-26,제조,Pro,3,297000,0
C01496,2024-05-14,IT/SW,Pro,10,990000,0
C01497,2022-06-02,유통/이커머스,Pro,11,1089000,0
C01498,2024-05-28,IT/SW,Basic,1,29000,0
C01499,2022-10-26,의료,Basic,3,87000,0
C01500,2022-04-04,공공,Basic,1,29000,1
C01501,2022-01-29,제조,Basic,1,29000,1
C01502,2022-05-04,IT/SW,Pro,4,396000,0
C01503,2022-07-22,금융,Enterprise,31,12090000,0
C01504,2022-09-18,제조,Basic,1,29000,0
C01505,2023-06-11,IT/SW,Basic,3,87000,0
C01506,2022-11-06,유통/이커머스,Basic,2,58000,1
C01507,2024-02-04,제조,Basic,2,58000,0
C01508,2022-08-04,의료,Basic,1,29000,0
C01509,2023-08-09,공공,Basic,2,58000,0
C01510,2022-07-17,제조,Basic,1,29000,1
C01511,2022-06-14,의료,Enterprise,31,12090000,0
C01512,2022-05-26,제조,Basic,1,29000,0
C01513,2022-11-20,제조,Basic,1,29000,0
C01514,2023-06-27,의료,Basic,1,29000,0
C01515,2022-01-15,유통/이커머스,Enterprise,25,9750000,0
C01516,2022-12-13,제조,Basic,2,58000,0
C01517,2022-11-21,제조,Basic,1,29000,1
C01518,2022-05-21,유통/이커머스,Pro,6,594000,0
C01519,2023-12-24,유통/이커머스,Pro,7,693000,0
C01520,2023-09-27,제조,Basic,2,58000,0
C01521,2023-08-20,제조,Basic,1,29000,0
C01522,2022-12-24,제조,Basic,3,87000,0
C01523,2023-12-23,제조,Basic,1,29000,0
C01524,2023-11-28,교육,Enterprise,39,15210000,0
C01525,2022-12-29,유통/이커머스,Enterprise,26,10140000,0
C01526,2023-10-10,IT/SW,Basic,1,29000,0
C01527,2022-06-25,스타트업,Pro,3,297000,1
C01528,2024-04-15,IT/SW,Pro,6,594000,0
C01529,2022-12-28,제조,Enterprise,31,12090000,0
C01530,2022-03-05,IT/SW,Basic,1,29000,0
C01531,2022-04-26,IT/SW,Basic,1,29000,0
C01532,2022-06-03,공공,Basic,3,87000,0
C01533,2023-01-29,IT/SW,Basic,1,29000,0
C01534,2022-02-12,제조,Basic,2,58000,1
C01535,2023-02-06,유통/이커머스,Enterprise,26,10140000,0
C01536,2022-06-11,유통/이커머스,Pro,3,297000,0
C01537,2023-02-06,의료,Basic,1,29000,0
C01538,2023-06-03,제조,Basic,1,29000,0
C01539,2023-06-15,유통/이커머스,Basic,1,29000,0
C01540,2022-11-07,공공,Enterprise,27,10530000,0
C01541,2022-05-14,유통/이커머스,Pro,6,594000,0
C01542,2023-02-10,금융,Enterprise,32,12480000,0
C01543,2023-09-09,교육,Basic,1,29000,0
C01544,2024-06-02,스타트업,Basic,1,29000,0
C01545,2023-05-07,유통/이커머스,Basic,1,29000,1
C01546,2024-01-16,교육,Basic,1,29000,0
C01547,2023-03-14,유통/이커머스,Basic,3,87000,1
C01548,2023-02-24,의료,Basic,1,29000,0
